country,raw_table,source_entity_code,source_entity_name,row_count,canonical_entity_name,notes
AR,ar_raw_balance,426,GALICIA RETIRO COMPAÑÌA DE SEGUROS SAU,10575,Galicia Seguros,
AR,ar_raw_solvencia,,GALICIA S.A.,3,Galicia Seguros,
AR,ar_raw_solvencia,,GALICIA SAU,2,Galicia Seguros,
AR,ar_raw_balance,589,GALICIA SEGUROS S.A.,17654,Galicia Seguros,
AR,ar_raw_balance,589,GALICIA SEGUROS SAU,44994,Galicia Seguros,
AR,ar_raw_solvencia,,GARANTÍA MUTUAL,7,Garantía Mutual,
AR,ar_raw_balance,681,GARANTÍA MUTUAL DE SEGUROS DEL TRANSPORTE PÚBLICO DE PASAJEROS,22896,Garantía Mutual,
AR,ar_raw_solvencia,,GENES II,1,MetLife Argentina,
AR,ar_raw_solvencia,,GENES II RETIRO,1,MetLife Argentina,
AR,ar_raw_balance,420,GENES II SEGUROS DE RETIRO S.A.,2758,MetLife Argentina,
AR,ar_raw_solvencia,,GESTION,7,Gestión,
AR,ar_raw_balance,882,GESTION COMPAÑÍA ARGENTINA DE SEGUROS S.A.,13154,Gestión,
AR,ar_raw_solvencia,,GGAL,1,Galicia Seguros,
AR,ar_raw_solvencia,,GGAL RETIRO,1,Galicia Seguros,
AR,ar_raw_solvencia,,HAMBURGO,8,Hamburgo,
AR,ar_raw_balance,333,HAMBURGO COMPAÑIA DE SEGUROS SOCIEDAD ANONIMA,18875,Hamburgo,
AR,ar_raw_solvencia,,HANSEATICA,8,Hanseatica,
AR,ar_raw_balance,778,HANSEATICA COMPAÑIA  DE SEGUROS SOCIEDAD ANÓNIMA,29404,Hanseatica,
AR,ar_raw_solvencia,,HDI,6,HDI Argentina,
AR,ar_raw_balance,335,HDI SEGUROS S.A.,25731,HDI Argentina,
AR,ar_raw_solvencia,,HOLANDO SUDAMERICANA,8,La Holando Sudamericana,
AR,ar_raw_solvencia,,HORIZONTE,7,Horizonte,
AR,ar_raw_balance,261,HORIZONTE COMPAÑIA ARGENTINA DE SEGUROS GENERALES SOCIEDAD ANÓNIMA,27309,Horizonte,
AR,ar_raw_solvencia,,HSBC RETIRO,7,HSBC Seguros Argentina,
AR,ar_raw_balance,443,HSBC SEGUROS DE RETIRO (ARGENTINA) S.A.,29339,HSBC Seguros Argentina,
AR,ar_raw_balance,516,HSBC SEGUROS DE VIDA (ARGENTINA) S.A.,37263,HSBC Seguros Argentina,
AR,ar_raw_solvencia,,HSBC VIDA,7,HSBC Seguros Argentina,
AR,ar_raw_solvencia,,IAM,6,Instituto Asegurador Mercantil,
AR,ar_raw_balance,966,INCLUIR COMPAÑÍA DE SEGUROS DE PERSONAS SOCIEDAD ANÓNIMA,686,Incluir Seguros de Personas,
AR,ar_raw_solvencia,,INCLUIR PERSONAS,3,Incluir Seguros de Personas,
AR,ar_raw_solvencia,,INST. AUTÁRQUICO,2,Instituto Autárquico Entre Ríos Retiro,
AR,ar_raw_solvencia,,INST. ENTRE RÍOS RETIRO,5,Instituto Autárquico Entre Ríos Retiro,
AR,ar_raw_solvencia,,INSTITUTO ASEGURADOR,2,Instituto Asegurador Mercantil,
AR,ar_raw_balance,381,INSTITUTO ASEGURADOR MERCANTIL COMPAÑIA ARGENTINA DE SEGUROS SOCIEDAD ANÓNIMA IAM,27804,Instituto Asegurador Mercantil,
AR,ar_raw_balance,437,INSTITUTO AUTARQUICO PROVINCIAL DEL SEGURO DE ENTRE RIOS SEGURO DE RETIRO SOCIEDAD ANONIMA,7939,Instituto Autárquico Entre Ríos Retiro,
AR,ar_raw_solvencia,,INSTITUTO AUTÁRQUICO,2,Instituto Autárquico del Seguro,
AR,ar_raw_balance,254,INSTITUTO AUTÁRQUICO PROVINCIAL DEL SEGURO,63928,Instituto Autárquico del Seguro,
AR,ar_raw_solvencia,,INSTITUTO DE JUJUY,4,Instituto de Seguros de Jujuy,
AR,ar_raw_balance,661,INSTITUTO DE SALTA COMPAÑÍA DE SEGUROS DE VIDA SOCIEDAD ANÓNIMA,27392,Instituto de Salta,
AR,ar_raw_solvencia,,INSTITUTO DE SEGUROS,7,Instituto de Seguros,
AR,ar_raw_balance,822,INSTITUTO DE SEGUROS DE JUJUY,20082,Instituto de Seguros de Jujuy,
AR,ar_raw_balance,728,INSTITUTO DE SEGUROS SOCIEDAD ANÓNIMA,24245,Instituto de Seguros,
AR,ar_raw_solvencia,,INSTITUTO SALTA,8,Instituto de Salta,
AR,ar_raw_solvencia,,INSUR,7,Insur Argentina,
AR,ar_raw_solvencia,,INTERNACIONAL,1,Internacional Seguros de Vida,
AR,ar_raw_balance,521,INTERNACIONAL COMPAÑÍA DE SEGUROS DE VIDA S.A.,13862,Internacional Seguros de Vida,
AR,ar_raw_solvencia,,INTÉGRITY,8,Intégrity,
AR,ar_raw_balance,720,INTÉGRITY SEGUROS ARGENTINA S.A.,147821,Intégrity,
AR,ar_raw_balance,823,IUNIGO ARGENTINA COMPAÑÍA DE SEGUROS SAU,23005,Iúnigo Argentina,
AR,ar_raw_solvencia,,IÚNIGO,4,Iúnigo Argentina,
AR,ar_raw_balance,823,IÚNIGO ARGENTINA COMPAÑÍA DE SEGUROS SA,58946,Iúnigo Argentina,
AR,ar_raw_solvencia,,JUJUY SOCIEDAD DEL ESTADO,3,Compañía de Seguros de Jujuy,
AR,ar_raw_balance,312,JUNCAL COMPAÑÍA DE SEGUROS DE AUTOS Y PATRIMONIALES S.A.,4886,Juncal Patrimoniales,
AR,ar_raw_solvencia,,JUNCAL PATRIMONIALES,4,Juncal Patrimoniales,
AR,ar_raw_balance,158,LA DULCE COOPERATIVA DE SEGUROS LIMITADA,21505,La Dulce,
AR,ar_raw_solvencia,,LA EQUIDAD,2,La Equidad Argentina,
AR,ar_raw_balance,944,LA EQUIDAD SOCIAL COMPAÑÌA DE SEGUROS S.A.,766,La Equidad Argentina,
AR,ar_raw_balance,944,LA EQUIDAD SOCIAL COMPAÑÍA DE SEGUROS PATRIMONIALES S.A.,628,La Equidad Argentina,
AR,ar_raw_balance,44,LA EQUITATIVA DEL PLATA SOCIEDAD ANONIMA DE SEGUROS,36437,La Equitativa del Plata,
AR,ar_raw_balance,419,LA ESTRELLA S.A. COMPAñíA DE SEGUROS DE RETIRO,25751,La Estrella Seguros de Retiro,
AR,ar_raw_balance,79,LA HOLANDO SUDAMERICANA COMPAÑIA DE SEGUROS SOCIEDAD ANONIMA,59011,La Holando Sudamericana,
AR,ar_raw_balance,244,LA MERIDIONAL COMPAÑÍA ARGENTINA DE SEGUROS SOCIEDAD ANÓNIMA,112400,La Meridional,
AR,ar_raw_balance,163,LA NUEVA COOPERATIVA DE SEGUROS LIMITADA,42264,La Nueva Cooperativa,
AR,ar_raw_solvencia,,LA PALABRA PERSONAS,1,La Palabra Seguros de Personas,
AR,ar_raw_balance,157,LA PERSEVERANCIA SEGUROS SOCIEDAD ANONIMA,93327,La Perseverancia,
AR,ar_raw_balance,591,LA PREVISORA S.A. SEGUROS DE SEPELIO,4512,La Previsora Argentina,
